Id|Name|Type
17|a|int
31|a1|int
35|a2|int
39|a3|int
43|a4|int
47|a5|int
51|a6|int
55|a7|int
59|a8|int
63|a9|int
69|arr|int[3]
3|arr1|int[ expr(189) ]
6|arr2|int[ expr(323) ]
7|arr3|int[ expr(452) ]
1|arrSize|int
18|b|int
32|b1|int
36|b2|int
40|b3|int
44|b4|int
48|b5|int
52|b6|int
56|b7|int
60|b8|int
64|b9|int
19|c|int
33|c1|int
37|c2|int
41|c3|int
45|c4|int
49|c5|int
53|c6|int
57|c7|int
61|c8|int
65|c9|int
20|d|int
34|d1|int
38|d2|int
42|d3|int
46|d4|int
50|d5|int
54|d6|int
58|d7|int
62|d8|int
66|d9|int
27|e|char
15|el|rtl/NSString
14|elem|rtl/NSString
28|f|char
29|g|char
30|h|char
2|i|int
4|j|int
16|n|int
12|nsarr|rtl/NSArray
13|nsarr1|rtl/NSArray
71|nsstr|rtl/NSString
68|num|int
21|obj|global/MyClass
8|obj1|global/MyClass1
72|obj10|global/MyClass10
9|obj2|global/MyClass2
10|obj3|global/MyClass2
11|obj4|global/MyClass2
22|obj4inst|global/MyClass4
23|obj7|global/MyClass7
24|obj8|global/MyClass8
25|obj9|global/MyClass9
26|objects|global/MyClass7[3]
0|self|rtl/!Program!
70|str|char[6]
67|test|global/Test
5|tmp|int
