Id|Name|Type
74|<iterator681>|int
75|<iterator683>|int
2|a|int
3|a1|int
4|a2|int
5|a3|int
6|a4|int
7|a5|int
8|a6|int
9|a7|int
10|a8|int
11|a9|int
1|args|java/lang/String[1024]
12|arr|int[3]
13|arr1|int[ expr(189) ]
14|arr2|int[ expr(323) ]
15|arr3|int[ expr(452) ]
16|arrSize|int
17|b|int
18|b1|int
19|b2|int
20|b3|int
21|b4|int
22|b5|int
23|b6|int
24|b7|int
25|b8|int
26|b9|int
27|c|int
28|c1|int
29|c2|int
30|c3|int
31|c4|int
32|c5|int
33|c6|int
34|c7|int
35|c8|int
36|c9|int
37|d|int
38|d1|int
39|d2|int
40|d3|int
41|d4|int
42|d5|int
43|d6|int
44|d7|int
45|d8|int
46|d9|int
47|e|char
48|el|rtl/NSString
49|elem|rtl/NSString
50|f|char
51|g|char
52|h|char
53|i|int
54|j|int
55|n|int
56|nsarr|rtl/NSArray
57|nsarr1|rtl/NSArray
58|nsstr|rtl/NSString
59|num|int
60|obj|global/MyClass
61|obj1|global/MyClass1
62|obj10|global/MyClass10
63|obj2|global/MyClass2
64|obj3|global/MyClass2
65|obj4|global/MyClass2
66|obj4inst|global/MyClass4
67|obj7|global/MyClass7
68|obj8|global/MyClass8
69|obj9|global/MyClass9
70|objects|global/MyClass7[3]
0|self|rtl/!Program!
71|str|char[6]
72|test|global/Test
73|tmp|int
