Name|Descriptor|IsClassMethod|ReturnType|ParamsTypes|KeywordsTypes|BodyStartStatementId|LocalVariablesTableName
14 (arrayByAddingObjectDynamic)|13 ((Lrtl/NSObject;)Lrtl/NSArray;)|false|rtl/NSArray||rtl/NSObject|empty|emptyTable
15 (arrayByAddingObjectsFromArrayDynamic)|9 ((Lrtl/NSArray;)Lrtl/NSArray;)|false|rtl/NSArray|||empty|emptyTable
6 (arrayStatic)|7 (()Lrtl/NSArray;)|true|rtl/NSArray|||empty|emptyTable
8 (arrayWithArrayStatic)|9 ((Lrtl/NSArray;)Lrtl/NSArray;)|true|rtl/NSArray||rtl/NSArray|empty|emptyTable
12 (arrayWithObjectStatic)|13 ((Lrtl/NSObject;)Lrtl/NSArray;)|true|rtl/NSArray||rtl/NSObject|empty|emptyTable
10 (arrayWithObjectsStatic)|11 (([Lrtl/NSObject;)Lrtl/NSArray;)|true|rtl/NSArray|rtl/NSObject[1024]||empty|emptyTable
16 (componentsJoinedByStringDynamic)|17 ((Lrtl/NSString;)Lrtl/NSString;)|false|rtl/NSString||rtl/NSString|empty|emptyTable
18 (containsObjectDynamic)|19 ((Lrtl/NSObject;)I)|false|int||rtl/NSObject|empty|emptyTable
20 (countDynamic)|21 (()I)|false|int|||empty|emptyTable
22 (descriptionDynamic)|23 (()Lrtl/NSString;)|false|rtl/NSString|||empty|emptyTable
26 (firstObjectCommonWithArrayDynamic)|27 ((Lrtl/NSArray;)Lrtl/NSObject;)|false|rtl/NSObject||rtl/NSArray|empty|emptyTable
24 (firstObjectDynamic)|25 (()Lrtl/NSObject;)|false|rtl/NSObject|||empty|emptyTable
28 (getObjectsDynamic)|29 (([Lrtl/NSObject;)V)|false|void||rtl/NSObject[1024]|empty|emptyTable
30 (indexOfObjectDynamic)|19 ((Lrtl/NSObject;)I)|false|int||rtl/NSObject|empty|emptyTable
31 (initDynamic)|7 (()Lrtl/NSArray;)|false|rtl/NSArray|||empty|emptyTable
32 (isEqualToArrayDynamic)|33 ((Lrtl/NSArray;)I)|false|int||rtl/NSArray|empty|emptyTable
34 (lastObjectDynamic)|25 (()Lrtl/NSObject;)|false|rtl/NSObject|||empty|emptyTable
35 (objectAtIndexDynamic)|36 ((I)Lrtl/NSObject;)|false|rtl/NSObject||int|empty|emptyTable
